346812	346812	109
346812	813499	208
346812	281262	227
346812	817313	222
346812	66416	124
346812	693511	203
346812	938584	40
346812	108573	79
346812	568664	1
346812	40759	22
346812	573397	213
346812	116108	158
346812	947544	56
346812	984567	248
346812	355619	214
346812	789546	113
346812	1020296	139
346812	813861	112
346812	349058	216
346812	735148	78
346812	61886	87
346812	430983	24
346812	547125	159
346812	560224	159
346812	281384	212
346812	148125	30
346812	838462	189
346812	707469	145
346812	567124	248
346812	838073	174
346812	695154	101
346812	587123	65
346812	606627	54
346812	921213	124
346812	867283	199
346812	247550	111
346812	905236	66
346812	940311	105
346812	442266	34
346812	760518	29
346812	136577	239
346812	829072	254
346812	697787	222
346812	934258	235
346812	569337	24
346812	140212	215
346812	468795	29
346812	471766	153
346812	466027	223
346812	207588	23
346812	903298	40
346812	583902	49
346812	168564	127
346812	230666	182
346812	672467	239
346812	847127	117
346812	257693	185
346812	474531	135
346812	13046	177
346812	859685	159
346812	300917	87
346812	607494	197
346812	810081	121
346812	169233	44
346812	564470	146
346812	339494	111
346812	459242	88
346812	537660	220
346812	1019857	160
346812	832724	15
346812	339696	186
346812	974460	236
346812	164943	184
346812	204919	66
346812	549643	88
346812	79097	176
346812	1032466	51
346812	810421	226
346812	466938	234
346812	546882	23
346812	389772	159
346812	292607	187
346812	58623	195
346812	445306	159
346812	317432	185
346812	568420	93
813499	813499	74
813499	846097	115
813499	116108	16
813499	355619	246
813499	13046	197
813499	384881	193
813499	564470	223
813499	366488	196
813499	211336	219
813499	309803	211
813499	281262	246
813499	168564	153
813499	230666	170
813499	847127	14
813499	216457	58
813499	785016	240
813499	663819	229
813499	694645	45
813499	559499	192
813499	913328	230
813499	645081	173
813499	466639	49
813499	691012	59
813499	466860	71
813499	848895	28
813499	275931	169
813499	211206	155
813499	873984	38
813499	36759	227
813499	22173	151
813499	810778	229
813499	814641	255
813499	46638	20
813499	981151	226
813499	439049	69
813499	297227	34
813499	866283	160
813499	996873	58
813499	342724	203
813499	233354	196
813499	181899	205
813499	176095	134
813499	93059	112
813499	468556	172
813499	1017916	28
813499	721493	147
813499	944421	198
813499	172034	225
813499	723894	183
813499	34895	252
813499	149314	126
813499	382453	234
813499	277909	240
813499	815432	111
813499	28482	84
813499	251461	69
813499	366983	196
813499	607494	90
813499	739838	57
813499	817210	117
813499	437785	72
813499	620215	187
813499	758757	13
813499	40994	15
813499	662015	206
813499	877574	27
813499	446521	183
813499	8676	131
813499	803412	224
813499	560343	208
813499	19683	168
813499	867617	232
813499	398394	251
813499	792245	150
813499	281890	187
813499	936680	149
813499	458673	160
813499	579051	209
813499	67200	2
813499	809397	8
813499	300697	122
813499	950284	200
813499	5356	28
813499	787791	190
813499	846455	242
813499	266003	230
813499	390339	67
813499	653490	176
813499	254535	33
813499	531724	245
813499	43670	4
813499	1005248	16
813499	185255	110
813499	294573	100
813499	634644	153
813499	554711	2
813499	214901	128
813499	716696	80
813499	114276	118
813499	358331	31
813499	399047	132
813499	752947	120
813499	512281	174
813499	821630	170
813499	19037	107
813499	694076	101
813499	189482	186
813499	163007	90
813499	629916	63
813499	652772	45
813499	987688	137
813499	1984	110
813499	212713	22
813499	872424	105
813499	148535	164
813499	603356	62
